trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",25,13,9.784453748738768,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",20,14,10.157764683451116,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",25,0,-0.7632978563167536,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",25,16,-25.692592142720507,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
160,False,"{'a': 0.5, 'e': 0.1999999999999993}",30,8,21.885574024496506,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19499999999999929}",20,5,5.4286892203840855,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.18999999999999928}",20,4,4.908790789485146,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.18499999999999928}",25,12,0.3152078023910039,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.17999999999999927}",20,8,20.96180221206496,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.17499999999999927}",30,11,-92.86372697834115,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 3}",1
166,False,"{'a': 0.5, 'e': 0.16999999999999926}",25,1,24.690169030864457,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.16499999999999926}",20,2,-13.751864934123626,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.15999999999999925}",30,0,-106.71448252845913,"{0: 23, 1: 1, 2: 1, 3: 4, 4: 1}",0
169,False,"{'a': 0.5, 'e': 0.15499999999999925}",25,12,11.93544999605639,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,13,13.520834505393797,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.14499999999999924}",20,14,0.7442544614133717,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.13999999999999924}",35,15,-4.549547512662329,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
173,False,"{'a': 0.5, 'e': 0.13499999999999923}",25,10,-0.1720864528646966,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.12999999999999923}",25,13,21.399490417280457,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.12499999999999922}",20,9,-2.9421627035732087,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.11999999999999922}",25,9,-3.2801795172048633,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.11499999999999921}",25,14,7.377436014290576,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.10999999999999921}",20,0,17.071557173847097,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.1049999999999992}",20,2,22.62636621612583,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.0999999999999992}",25,7,26.362366975228138,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.0949999999999992}",25,12,-30.354034328688382,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
182,False,"{'a': 0.5, 'e': 0.08999999999999919}",20,12,13.753151076720556,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.08499999999999919}",20,11,13.67308912793272,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.07999999999999918}",20,10,18.227989957310292,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.07499999999999918}",20,0,-10.89059530734573,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
186,False,"{'a': 0.5, 'e': 0.06999999999999917}",30,18,12.885009288091723,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.06499999999999917}",30,11,18.35778004512809,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.05999999999999917}",25,5,18.22556646696136,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.054999999999999175}",25,18,9.728076050058988,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.04999999999999918}",25,16,-26.09309119441283,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0.5, 'e': 0.04499999999999918}",25,8,15.320637065671553,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 0.03999999999999918}",20,3,-12.974232632913758,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 0.034999999999999185}",20,6,-19.659976502530498,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': 0.029999999999999184}",20,4,23.12947197629512,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 0.024999999999999183}",20,3,19.71854079550904,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 0.01999999999999918}",25,18,9.024675738287822,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 0.01499999999999918}",25,8,27.469157199295086,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 0.00999999999999918}",20,13,9.476091410860713,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 0.00499999999999918}",20,1,25.017898485096048,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': -8.205242041370298e-16}",30,7,35.625974276425474,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
